"id","label","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","georeferencingby","georeferencingdesc","certainty","literature","wkt"
11,"Massaquano",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.439663 40.662490)"
12,"Monte Echia","https://sws.geonames.org/3172391","fsl:partlyMatch","fsl:PaperDesc","fsl:Paper","fsl:Mountain","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Pappalardo et al., 1999","POINT(14.239647 40.833120)"
13,"Lago Grande di Monticchio","https://sws.geonames.org/3172698","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Narcisi, 1996","POINT(15.605692 40.931542)"
14,"Monticchio (Bagni)","https://sws.geonames.org/3172698","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(15.556245 40.948108)"
15,"Monticchio","https://sws.geonames.org/3172698","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Brauer et al., 2000;Fedele et al., 2003","POINT(15.591245 40.933349)"
16,"Murge","https://sws.geonames.org/3174898","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Plateau","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Giaccio et al., 2008","POINT(16.283297 41.004737)"
17,"Naples","https://sws.geonames.org/3172391","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Orsi et al., 1996","POINT(14.207988 40.853667)"
18,"Pacognano",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997;Rosi et al., 1999","POINT(14.400356 40.649749)"
19,"Paglicci Cave","http://wikidata.org/entity/Q3777010","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Giaccio et al., 2008","POINT(14.070017 41.672619)"
20,"Pellezzano",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.754639 40.724912)"
